# T U K E
1929 -1272.027064 393.936546 -878.090517
1930 -1272.499672 394.334772 -878.164900
1931 -1272.941130 394.699618 -878.241511
1932 -1273.349450 395.029654 -878.319796
1933 -1273.723037 395.323571 -878.399466
1934 -1274.061090 395.580791 -878.480299
1935 -1274.363405 395.801410 -878.561995
1936 -1274.630813 395.986346 -878.644467
1937 -1274.864449 396.137800 -878.726650
1938 -1275.066374 396.257818 -878.808557
1939 -1275.239518 396.349516 -878.890002
1940 -1275.387561 396.417320 -878.970241
1941 -1275.514676 396.465109 -879.049567
1942 -1275.625773 396.499017 -879.126756
1943 -1275.726079 396.523439 -879.202640
1944 -1275.821302 396.544814 -879.276488
1945 -1275.917279 396.569184 -879.348095
1946 -1276.020111 396.602134 -879.417977
1947 -1276.135520 396.649398 -879.486121
1948 -1276.268971 396.716713 -879.552257
1949 -1276.425709 396.808318 -879.617391
1950 -1276.610032 396.928422 -879.681609
1951 -1276.825691 397.080471 -879.745219
1952 -1277.075199 397.266354 -879.808845
1953 -1277.360476 397.487441 -879.873034
1954 -1277.682395 397.744279 -879.938116
1955 -1278.040523 398.035401 -880.005122
1956 -1278.433678 398.359338 -880.074340
1957 -1278.859502 398.713465 -880.146037
1958 -1279.315306 399.094666 -880.220640
1959 -1279.797061 399.498240 -880.298821
1960 -1280.300710 399.920403 -880.380307
1961 -1280.821422 400.355569 -880.465853
1962 -1281.354651 400.799098 -880.555553
1963 -1281.895017 401.245834 -880.649183
1964 -1282.437615 401.690926 -880.746689
1965 -1282.977495 402.128911 -880.848585
1966 -1283.509952 402.555854 -880.954098
1967 -1284.030893 402.967332 -881.063561
1968 -1284.535960 403.359411 -881.176549
1969 -1285.021696 403.728492 -881.293205
1970 -1285.484726 404.071800 -881.412926
1971 -1285.922239 404.385982 -881.536257
1972 -1286.331668 404.669422 -881.662245
1973 -1286.710971 404.919623 -881.791349
1974 -1287.058220 405.134907 -881.923312
1975 -1287.371840 405.314334 -882.057505
1976 -1287.650561 405.456167 -882.194394
1977 -1287.893475 405.560042 -882.333433
1978 -1288.099645 405.624804 -882.474841
1979 -1288.268471 405.650121 -882.618350
1980 -1288.399449 405.635782 -882.763667
1981 -1288.492361 405.581485 -882.910876
1982 -1288.546996 405.486868 -883.060128
1983 -1288.563366 405.352300 -883.211066
1984 -1288.541487 405.178029 -883.363458
1985 -1288.481464 404.963782 -883.517682
1986 -1288.383762 404.711119 -883.672643
1987 -1288.248637 404.419341 -883.829296
1988 -1288.076851 404.090526 -883.986325
1989 -1287.869062 403.724706 -884.144356
1990 -1287.626077 403.322893 -884.303185
1991 -1287.349044 402.886459 -884.462584
1992 -1287.039114 402.416813 -884.622302
1993 -1286.697284 401.915084 -884.782201
1994 -1286.325043 401.382982 -884.942061
1995 -1285.923743 400.821884 -885.101859
